0,Gene Count,Interesting Gene Count,Hypergeom pvalue
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,396,8,0.0018233080794365147
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,122,0,0.0018867130438525255
GO_EPIDERMAL_CELL_DIFFERENTIATION,365,7,0.0019188576941855323
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,1142,37,0.0019821077564474714
GO_EPIDERMIS_DEVELOPMENT,477,11,0.002091477280743409
GO_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX,301,5,0.0021441359908086544
GO_AXON_DEVELOPMENT,530,13,0.0022131867129011364
HALLMARK_KRAS_SIGNALING_DN,200,2,0.0022701668015777323
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,2,0.0022701668015777323
GO_ORGANIC_ACID_METABOLIC_PROCESS,1183,39,0.002295627961924235
GO_REGULATION_OF_VASCULATURE_DEVELOPMENT,444,10,0.0024399972009466176
GO_REGULATION_OF_MEMBRANE_POTENTIAL,443,10,0.0025157799405706002
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1853,68,0.0025928704464013813
GO_REGIONALIZATION,355,7,0.002685576484419937
GO_NEGATIVE_REGULATION_OF_HEMOPOIESIS,158,1,0.002758575903898096
TERF1_TARGET_GENES,293,5,0.0028632403189715067
GO_CELL_SURFACE,904,28,0.002936894282183888
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,409,9,0.0030151786560262683
GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,1193,40,0.003028287288951282
MAFG_TARGET_GENES,1887,70,0.003130398477279896
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,112,0,0.00315979865256607
GO_IMMUNOGLOBULIN_COMPLEX,155,1,0.003166045846804472
GO_KERATINIZATION,225,3,0.003353260520499428
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,1466,52,0.0035780082724144223
GO_B_CELL_MEDIATED_IMMUNITY,223,3,0.003628703708442539
SRSF9_TARGET_GENES,918,29,0.003700797185595911
GO_CATION_CHANNEL_COMPLEX,221,3,0.003925953038127047
GO_NEURON_PROJECTION,1366,48,0.00405009378633879
GO_NEURON_PROJECTION_TERMINUS,149,1,0.004166374991610402
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX,688,20,0.004271812454028643
GO_CARDIAC_CONDUCTION,148,1,0.004360888605748335
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,148,1,0.004360888605748335
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,105,0,0.004532705519831465
GO_TUBE_DEVELOPMENT,1148,39,0.004575283806846701
GO_TRANSMEMBRANE_TRANSPORT,1608,59,0.00496769244886016
GO_LEARNING,145,1,0.0049994673659899515
GO_REGULATION_OF_ION_TRANSPORT,706,21,0.005071482166119346
GO_LEUKOCYTE_CELL_CELL_ADHESION,364,8,0.005088468445317353
GO_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,246,4,0.005123655990238109
ZNF274_TARGET_GENES,1094,37,0.005194156882724392
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,144,1,0.005232054896533625
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,363,8,0.005249859276635585
GO_MUSCLE_CELL_DIFFERENTIATION,390,9,0.0053996230796806415
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,753,23,0.005420706198526677
GO_INFLAMMATORY_RESPONSE,801,25,0.005590746283733155
ZIM3_TARGET_GENES,1161,40,0.0055948845036167295
GO_REGULATION_OF_SYSTEM_PROCESS,626,18,0.005614173904136387
GO_SECRETORY_VESICLE,1018,34,0.005683349460003359
GO_POSITIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,178,2,0.005731082325424231
KEGG_CALCIUM_SIGNALING_PATHWAY,178,2,0.005731082325424231
GO_CELL_MORPHOGENESIS,1041,35,0.0057772841201237865
GO_COGNITION,302,6,0.005922906500192759
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION,414,10,0.0059802385738049624
GO_TRANSPORTER_COMPLEX,330,7,0.006085078589582956
GO_LIPID_MODIFICATION,271,5,0.006232376763016334
GO_I_BAND,140,1,0.006273203652160538
GO_REGULATION_OF_CELL_CELL_ADHESION,439,11,0.006336783601737362
GO_RESPONSE_TO_BIOTIC_STIMULUS,1615,60,0.006420703207119385
GO_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,98,0,0.00650127442992388
GO_MIRNA_MEDIATED_INHIBITION_OF_TRANSLATION,98,0,0.00650127442992388
GO_AUTOPHAGOSOME,98,0,0.00650127442992388
GO_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION,769,24,0.0065831066441751525
GO_INNATE_IMMUNE_RESPONSE,986,33,0.0066753555405292715
GO_CATION_TRANSMEMBRANE_TRANSPORT,890,29,0.006684200031164322
GO_CONTRACTILE_FIBER,238,4,0.0068650415525747955
GO_CELL_PROJECTION_ORGANIZATION,1588,59,0.006874125236821925
GO_REGULATION_OF_MUSCLE_CONTRACTION,173,2,0.007049594104958839
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1101,38,0.007125689905319462
GO_ANTIMICROBIAL_HUMORAL_RESPONSE,137,1,0.007184728327879299
GO_B_CELL_DIFFERENTIATION,137,1,0.007184728327879299
GO_POTASSIUM_CHANNEL_COMPLEX,96,0,0.007206801932177998
GO_SPERM_MOTILITY,96,0,0.007206801932177998
GO_LYSOSOMAL_LUMEN,96,0,0.007206801932177998
GO_CELL_KILLING,172,2,0.00734646057701324
GO_CELLULAR_LIPID_CATABOLIC_PROCESS,236,4,0.007381607362054608
GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION,295,6,0.007469601569169925
GO_APICAL_PART_OF_CELL,433,11,0.007499755008175615
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,235,4,0.007653588825103749
GO_COMPLEMENT_ACTIVATION,171,2,0.007655399109142647
GO_ANCHORED_COMPONENT_OF_MEMBRANE,171,2,0.007655399109142647
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,265,5,0.007668290088228087
GO_ANION_TRANSPORT,663,20,0.007713125283881217
GO_SPECIFICATION_OF_SYMMETRY,135,1,0.007863145876894581
GO_REGULATION_OF_CELL_ADHESION,736,23,0.00792626460386621
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER,263,5,0.008213022134353725
GO_PATTERN_SPECIFICATION_PROCESS,455,12,0.008480044691736462
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,455,12,0.008480044691736462
HALLMARK_KRAS_SIGNALING_UP,200,3,0.00885399885290131
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,3,0.00885399885290131
GO_TAXIS,656,20,0.009058550452036102
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,705,22,0.009134745593881739
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,1203,43,0.009287011214801423
GO_PLATELET_ALPHA_GRANULE,91,0,0.00932357423533027
GO_REGULATION_OF_INFLAMMATORY_RESPONSE,425,11,0.00936134309806275
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1386,51,0.009445773019337652
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,604,18,0.009523144136606192
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,577,17,0.009963329308201813
GO_EMBRYONIC_MORPHOGENESIS,602,18,0.009981156924049073
GO_LYMPHOCYTE_DIFFERENTIATION,368,9,0.010350236755612136
GO_STEM_CELL_PROLIFERATION,128,1,0.01076765030677193
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,720,23,0.011215620468793914
KEGG_HEMATOPOIETIC_CELL_LINEAGE,87,0,0.011456009479312464
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,469,13,0.011636204105382499
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,957,33,0.011665365175284884
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,192,3,0.011985146889016168
GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,979,34,0.011996042365221518
GO_REGULATION_OF_CELL_ACTIVATION,643,20,0.012142493910504776
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,159,2,0.01249263824467141
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,279,6,0.012553233166557199
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,221,4,0.012617396389312596
GO_CILIARY_PLASM,124,1,0.012872800217989068
GO_REPRODUCTION,1502,57,0.012978721495577628
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,305,7,0.013308266424252875
GO_REGULATION_OF_T_CELL_ACTIVATION,332,8,0.013438073751242233
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,219,4,0.013537087703348353
GO_CELL_RECOGNITION,219,4,0.013537087703348353
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,1042,37,0.01362722892068256
GO_REGULATION_OF_IMMUNE_RESPONSE,1018,36,0.013809030547335713
PAX7_TARGET_GENES,710,23,0.013859188432857935
GO_LYMPHOCYTE_ACTIVATION,758,25,0.013905139435982202
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE,83,0,0.014075560091109371
GO_ASTROCYTE_DIFFERENTIATION,83,0,0.014075560091109371
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,83,0,0.014075560091109371
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,187,3,0.014450956629644983
GO_EMBRYONIC_ORGAN_MORPHOGENESIS,302,7,0.01458060658984906
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,610,19,0.014645802196007661
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,82,0,0.014819066893372236
GO_ION_HOMEOSTASIS,826,28,0.014918526989921691
GO_MUSCLE_STRUCTURE_DEVELOPMENT,681,22,0.015335072579038813
GO_HIPPOCAMPUS_DEVELOPMENT,81,0,0.015601805846940223
GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,81,0,0.015601805846940223
GO_CELLULAR_ION_HOMEOSTASIS,679,22,0.015993895910816968
GO_SYNAPSE_ASSEMBLY,184,3,0.01615423629249278
GO_SECOND_MESSENGER_MEDIATED_SIGNALING,456,13,0.01618009180425474
ZNF618_TARGET_GENES,1442,55,0.01627338947492539
GO_AMEBOIDAL_TYPE_CELL_MIGRATION,481,14,0.016312253621746937
SRPK2_TARGET_GENES,80,0,0.016425844888888142
GO_GOLGI_APPARATUS,1598,62,0.016464770339590637
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT,868,30,0.016479776078876837
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,1054,38,0.016557018526319238
GO_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,270,6,0.016688632928201882
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT,554,17,0.017044014767591622
GO_GOLGI_STACK,151,2,0.01722871123535895
GO_POSITIVE_REGULATION_OF_CELL_ADHESION,428,12,0.01723068752658096
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,350,9,0.017262987749070716
GO_SENSORY_ORGAN_DEVELOPMENT,578,18,0.01728725426433006
GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,79,0,0.01729336083690717
GO_REGULATION_OF_NEURON_DIFFERENTIATION,675,22,0.01738859625921986
GO_MYOTUBE_DIFFERENTIATION,117,1,0.017559608211298455
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,240,5,0.01774903463394284
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT,349,9,0.0177502848963575
GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,268,6,0.017765480052526275
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,211,4,0.01788664037375024
GO_APPENDAGE_MORPHOGENESIS,150,2,0.017929575742908255
GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,181,3,0.01804661541249127
GO_CIRCULATORY_SYSTEM_PROCESS,576,18,0.01807467590806687
GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,400,11,0.01829571022929577
GO_RESPONSE_TO_GROWTH_FACTOR,744,25,0.018415044304196826
GO_MYELOID_LEUKOCYTE_DIFFERENTIATION,210,4,0.018514555176530036
GO_GRANULOCYTE_MIGRATION,149,2,0.018657639261401446
GO_NEUROINFLAMMATORY_RESPONSE,77,0,0.019168109820539948
GO_TUBE_MORPHOGENESIS,951,34,0.019874554992613105
GO_FATTY_ACID_CATABOLIC_PROCESS,114,1,0.020042006938939372
GO_REGULATION_OF_HORMONE_LEVELS,522,16,0.02013511097496965
GO_STRIATED_MUSCLE_CONTRACTION,178,3,0.02014730420999716
GO_PRESYNAPTIC_ACTIVE_ZONE,76,0,0.02018029398501033
GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,76,0,0.02018029398501033
GO_ASSOCIATIVE_LEARNING,76,0,0.02018029398501033
GO_REGULATION_OF_TRANSPORTER_ACTIVITY,291,7,0.020274962926079203
GO_AXON,643,21,0.02050080754291205
GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,290,7,0.020883324838647785
GO_RESPONSE_TO_CALCIUM_ION,146,2,0.021015032729109862
CHAMP1_TARGET_GENES,206,4,0.021238681212229063
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,75,0,0.021245870337652868
GO_DETECTION_OF_LIGHT_STIMULUS,75,0,0.021245870337652868
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,1084,40,0.02162343211731195
GO_SIGNAL_RELEASE,616,20,0.021783082508607977
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC,112,1,0.021882530155205002
GO_CIRCULATORY_SYSTEM_DEVELOPMENT,1196,45,0.02221710954792366
GO_LEADING_EDGE_MEMBRANE,175,3,0.02247718931225514
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,517,16,0.022561259521631592
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS,204,4,0.0227371932285807
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,144,2,0.02274154348408724
GO_SKELETAL_SYSTEM_DEVELOPMENT,516,16,0.02307687652837672
GO_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,174,3,0.023308614511066736
GO_VACUOLE,802,28,0.02350946722082726
GO_REGULATION_OF_CARDIAC_CONDUCTION,73,0,0.023548601348897413
GO_NEURON_PROJECTION_GUIDANCE,285,7,0.024184702208615013
GO_CELL_MATRIX_ADHESION,230,5,0.024528932346224795
GO_METAL_ION_HOMEOSTASIS,658,22,0.02461256352461864
GO_INOSITOL_PHOSPHATE_METABOLIC_PROCESS,72,0,0.02479183488728032
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,72,0,0.02479183488728032
GO_NEURAL_RETINA_DEVELOPMENT,72,0,0.02479183488728032
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,109,1,0.024953563985663868
GO_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,172,3,0.025058936420772726
GO_GLYCOPROTEIN_METABOLIC_PROCESS,413,12,0.025098976165477627
GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION,1766,71,0.0251617822426577
GO_EXOCYTOSIS,914,33,0.025304890034590202
GO_NEUROTRANSMITTER_TRANSPORT,229,5,0.025324982740481786
GO_APICAL_PLASMA_MEMBRANE,361,10,0.02587444233608395
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,171,3,0.02597967459115015
HALLMARK_MYOGENESIS,200,4,0.026034502935665026
HALLMARK_COMPLEMENT,200,4,0.026034502935665026
GO_BEHAVIOR,606,20,0.026815968103073677
GO_MOTILE_CILIUM,199,4,0.026925649936770532
GO_INTERLEUKIN_6_PRODUCTION,170,3,0.02693206568249444
GO_SPHINGOLIPID_BIOSYNTHETIC_PROCESS,107,1,0.027228161666656297
GO_CELL_SUBSTRATE_ADHESION,359,10,0.02725401064316796
GO_AXONEME_ASSEMBLY,70,0,0.027478453922205524
NME2_TARGET_GENES,70,0,0.027478453922205524
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,70,0,0.027478453922205524
GO_MEMBRANE_FUSION,169,3,0.027917091722329118
GO_T_CELL_ACTIVATION,483,15,0.02792826911444056
GO_SYNAPSE_ORGANIZATION,433,13,0.02833306034152047
GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,1180,45,0.02840698076105482
GO_NEUROPEPTIDE_SIGNALING_PATHWAY,106,1,0.028439283163965354
HALLMARK_COAGULATION,138,2,0.02876693491755743
GO_9PLUS0_NON_MOTILE_CILIUM,138,2,0.02876693491755743
GO_IMMUNOGLOBULIN_COMPLEX_CIRCULATING,69,0,0.02892892949524861
KEGG_PPAR_SIGNALING_PATHWAY,69,0,0.02892892949524861
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,105,1,0.029702296266748373
GO_PHOSPHOLIPID_METABOLIC_PROCESS,455,14,0.03019614633670727
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,552,18,0.03037489759240732
GO_MAIN_AXON,68,0,0.03045588834599243
GO_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,195,4,0.030780847752879852
GO_REGULATION_OF_HEART_RATE,104,1,0.031019301323916282
GO_NON_MOTILE_CILIUM,166,3,0.031078180350003076
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE,166,3,0.031078180350003076
GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,763,27,0.03131039396954155
GO_ORGANIC_ACID_TRANSPORT,353,10,0.03179967584313592
GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY,67,0,0.032063359126959144
GO_NEURON_FATE_COMMITMENT,67,0,0.032063359126959144
GO_CERAMIDE_BIOSYNTHETIC_PROCESS,67,0,0.032063359126959144
GO_PLATELET_ALPHA_GRANULE_LUMEN,67,0,0.032063359126959144
GO_MYOFIBRIL_ASSEMBLY,67,0,0.032063359126959144
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,103,1,0.032392475765465015
GO_PRESYNAPSE,524,17,0.033001562295389045
GO_NEURON_MIGRATION,164,3,0.03336790332895728
GO_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,66,0,0.03375558247402164
GO_GOLGI_LUMEN,102,1,0.03382407639076524
GO_MULTI_ORGANISM_PROCESS,1123,43,0.03404672364137767
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT,570,19,0.03434450596374847
GO_PHAGOCYTOSIS,375,11,0.03445152798025017
GO_SIDE_OF_MEMBRANE,617,21,0.03465881735277291
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,133,2,0.03491368801619812
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,272,7,0.0351218497189934
GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION,101,1,0.035316441678907025
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,101,1,0.035316441678907025
GO_INTERLEUKIN_8_PRODUCTION,101,1,0.035316441678907025
GO_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,101,1,0.035316441678907025
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION,65,0,0.035537022138382786
GO_KILLING_OF_CELLS_OF_OTHER_ORGANISM,65,0,0.035537022138382786
GO_HORMONE_TRANSPORT,323,9,0.03577003426583025
ZNF22_TARGET_GENES,1186,46,0.03622666520637778
GO_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,64,0,0.037412376718709256
GO_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,64,0,0.037412376718709256
KEGG_RETINOL_METABOLISM,64,0,0.037412376718709256
GO_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,64,0,0.037412376718709256
GO_EPITHELIAL_CELL_DIFFERENTIATION,798,29,0.038165755929841685
GO_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE,99,1,0.038493242638013035
GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,99,1,0.038493242638013035
GO_IMMUNE_SYSTEM_DEVELOPMENT,1024,39,0.03902803200092508
GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,1001,38,0.039305416530472245
GO_DETECTION_OF_VISIBLE_LIGHT,63,0,0.039386592002794235
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,63,0,0.039386592002794235
GO_PHOTORECEPTOR_CELL_DIFFERENTIATION,63,0,0.039386592002794235
GO_SYNAPSE,1357,54,0.03974015942546553
GO_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,159,3,0.039796818682283026
GO_CELL_PROJECTION_MEMBRANE,344,10,0.03989646189903016
